# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,economicos
1258,VERACRUZ,0,0,7,20,0,1
3194,VERACRUZ,0,0,0,12,0,3
2444,VERACRUZ,0,0,3,16,0,3
2424,VERACRUZ,0,0,10,16,0,3
2379,VERACRUZ,0,0,0,13,0,3
3135,VERACRUZ,0,0,8,20,0,0
2240,VERACRUZ,0,0,0,13,0,3
2422,VERACRUZ,0,0,0,14,0,3
2229,VERACRUZ,0,0,0,10,0,2
2025,VERACRUZ,0,0,0,3,0,2
2037,VERACRUZ,0,0,11,24,0,1
2077,VERACRUZ,0,0,0,11,0,1
33,VERACRUZ,0,0,0,16,0,2
2067,VERACRUZ,0,0,0,9,0,1
2026,VERACRUZ,0,0,0,8,0,1
3189,VERACRUZ,0,0,0,8,0,0
2214,VERACRUZ,0,0,0,16,0,0
40,VERACRUZ,0,0,0,0,0,2
71,VERACRUZ,0,0,0,0,0,2
68,VERACRUZ,0,0,0,0,0,0
78,VERACRUZ,0,0,0,0,0,0
73,VERACRUZ,0,0,0,0,0,0
78,VERACRUZ,0,0,0,0,0,0
70,VERACRUZ,0,0,0,0,0,0
64,VERACRUZ,0,0,0,0,0,0
2407,VERACRUZ,0,0,1,14,0,2
56,VERACRUZ,0,0,0,10,0,1
74,VERACRUZ,0,0,0,0,0,0
26,VERACRUZ,0,0,0,0,0,1
59,VERACRUZ,0,0,0,0,0,2
69,VERACRUZ,0,0,0,0,0,0
60,VERACRUZ,0,0,0,0,0,2
77,VERACRUZ,0,0,0,0,0,0
77,VERACRUZ,0,0,0,0,0,0
53,VERACRUZ,0,0,0,0,0,1
82,VERACRUZ,0,0,0,0,0,0
4035,VERACRUZ,0,0,0,12,0,3
65,VERACRUZ,0,0,0,0,0,2
