# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
1,MATRIZ,0,0,0,0,0
135,MATRIZ,0,0,12,16,3
2086,MATRIZ,0,0,0,0,1
4,MATRIZ,0,0,0,0,0
679,MATRIZ,0,0,0,0,3
100,MATRIZ,0,0,0,0,1
1301,MATRIZ,0,0,0,0,3
8,MATRIZ,0,0,18,18,3
666,MATRIZ,0,0,0,0,2
6,MATRIZ,0,0,0,0,0
640,MATRIZ,0,0,0,10,2
668,MATRIZ,0,0,0,0,2
654,MATRIZ,0,0,0,0,1
13,MATRIZ,0,0,0,0,0
2052,MATRIZ,0,0,0,1,1
652,MATRIZ,0,0,0,0,3
123,MATRIZ,0,0,0,3,2
15,MATRIZ,0,0,13,18,3
683,MATRIZ,0,0,0,0,3
1020,MATRIZ,0,0,0,16,3
2093,MATRIZ,0,0,0,0,3
18,MATRIZ,0,0,0,4,2
2084,MATRIZ,0,0,0,13,2
2004,MATRIZ,0,0,0,0,3
676,MATRIZ,0,0,0,0,3
677,MATRIZ,0,0,0,0,3
173,MATRIZ,0,0,0,0,2
149,MATRIZ,0,0,0,5,3
29,MATRIZ,0,0,0,0,2
650,MATRIZ,0,0,0,1,2
3204,MATRIZ,0,0,0,10,2
667,MATRIZ,0,0,0,0,2
674,MATRIZ,0,0,0,0,2
641,MATRIZ,0,0,0,0,0
669,MATRIZ,0,0,0,0,1
682,MATRIZ,0,0,0,0,3
602,MATRIZ,0,0,0,0,1
2442,MATRIZ,0,0,0,2,3
663,MATRIZ,0,0,0,0,3
44,MATRIZ,0,0,0,7,3
46,MATRIZ,0,0,0,8,3
49,MATRIZ,0,0,0,1,3
2543,MATRIZ,0,0,0,0,3
83,MATRIZ,0,0,0,0,3
636,MATRIZ,0,0,0,0,3
53,MATRIZ,0,0,0,0,0
54,MATRIZ,0,0,0,0,0
3014,MATRIZ,0,0,0,0,2
55,MATRIZ,0,0,2,18,3
625,MATRIZ,0,0,0,9,3
154,MATRIZ,0,0,7,16,3
4034,MATRIZ,0,0,0,11,2
648,MATRIZ,0,0,0,0,3
151,MATRIZ,0,0,4,16,3
189,MATRIZ,0,0,0,5,3
200,MATRIZ,0,0,0,0,3
637,MATRIZ,0,0,0,10,3
60,MATRIZ,0,0,6,20,3
61,MATRIZ,0,0,0,0,3
680,MATRIZ,0,0,0,0,0
630,MATRIZ,0,0,0,10,3
681,MATRIZ,0,0,0,0,0
684,MATRIZ,0,0,0,0,3
658,MATRIZ,0,0,0,0,3
611,MATRIZ,0,0,12,16,3
1319,MATRIZ,0,0,0,0,0
64,MATRIZ,0,0,0,0,2
2487,MATRIZ,0,0,0,0,3
85,MATRIZ,0,0,0,16,3
179,MATRIZ,0,0,0,1,3
675,MATRIZ,0,0,0,0,3
3071,MATRIZ,0,0,14,16,3
70,MATRIZ,0,0,0,11,3
0,MATRIZ,0,0,0,0,0
71,MATRIZ,0,0,0,1,2
653,MATRIZ,0,0,0,0,3
74,MATRIZ,0,0,0,0,0
685,MATRIZ,0,0,0,0,3
671,MATRIZ,0,0,0,0,3
78,MATRIZ,0,0,9,18,2
605,MATRIZ,0,6,14,16,3
651,MATRIZ,0,0,0,0,2
2015,MATRIZ,0,0,0,1,2
